kodifikasi,nama,lokasi,kotamadya,kecamatan,kelurahan,luas,jenis
21040027,JH Cempaka Putih Tengah XIX, Jl Cempaka Putih Tengah XIX , Jakarta Pusat , Cempaka Putih , -   ,350, Jalur Hijau Jalan 
21040080,JH Rawasari Selatan IV, Jl Rawasari Selatan IV , Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
21040064,JH Pramuka Sari I, Jl Pramuka Sari I , Jakarta Pusat , Cempaka Putih , -   ,764, Jalur Hijau Jalan 
21040053,JH Mardani, Jl Mardani , Jakarta Pusat , Cempaka Putih , -   ,1250, Jalur Hijau Jalan 
821040004,JH Percetakan Negara IX a, Jl. Percetakan Negara IX a , Jakarta Pusat , Cempaka Putih , -   ,420, Jalur Hijau Jalan 
21040041,JH Cempaka Putih Timur IV D, Jl Cempaka Putih Timur IV D , Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
21040036,JH Cempaka Putih Tengah XXX, Jl Cempaka putih Tengah XXX , Jakarta Pusat , Cempaka Putih , -   ,850, Jalur Hijau Jalan 
21040025,JH Cempak Putih Tengah XI, Jl Cempaka Putih Tengah Xi , Jakarta Pusat , Cempaka Putih , -   ,350, Jalur Hijau Jalan 
21040078,JH Percetakan Negara X, Jl Percetakan Negara X , Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
21040062,JH Percetakan Negara VIII, Jl Percetakan Negara VIII , Jakarta Pusat , Cempaka Putih , -   ,130, Jalur Hijau Jalan 
21040023,JH Cempaka Putih Tengah VI, Jl Cempaka putih Tengah VI , Jakarta Pusat , Cempaka Putih , -   ,900, Jalur Hijau Jalan 
21040011,JH Cempaka Putih Barat XXI, Jl Cempaka Putih Barat XXI , Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
21040060,JH Percetakan Negara VI, Jl Percetakan Negara VI , Jakarta Pusat , Cempaka Putih , -   ,800, Jalur Hijau Jalan 
21040048,JH Cempaka Putih Timur XVII, Jl Cempaka Putih Timur XVII , Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
21040032,JH Cempaka Putih Tengah XXVI, Jl Cempaka Putih Tengah XXVI , Jakarta Pusat , Cempaka Putih , -   ,1300, Jalur Hijau Jalan 
21040021,JH Cempaka Putih Tengah IV, Jl Cempaka Putih Tengah IV , Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
21040009,JH Cempaka Putih Barat XVI, Jl Cempaka Putih Barat XVI , Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
21040071,JH Cempaka Putih Tengah XX B, Jl Cempaka Putih Tengah XX B , Jakarta Pusat , Cempaka Putih , -   ,250, Jalur Hijau Jalan 
21040058,JH Percetakan Negara Raya, Jl Percetakan Negara Raya , Jakarta Pusat , Cempaka Putih , -   ,595, Jalur Hijau Jalan 
21040030,JH Cempaka Putih Tengah XX A, Jl Cempaka Putih Tengah XX A , Jakarta Pusat , Cempaka Putih , -   ,450, Jalur Hijau Jalan 
21040019,JH Cempaka Putih Tengah I, Jl Cempaka Putih Tengah I , Jakarta Pusat , Cempaka Putih , -   ,1800, Jalur Hijau Jalan 
21040068,JH Rawasari Timur, Jl Rawasari Timur , Jakarta Pusat , Cempaka Putih , -   ,950, Jalur Hijau Jalan 
21040056,JH Percetakan Negara III, Jl Percetakan Negara III , Jakarta Pusat , Cempaka Putih , -   ,250, Jalur Hijau Jalan 
21040044,JH Cempaka Putih Timur VI, Jl Cempaka Putih Timur VI , Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
21040028,JH Cempaka Putih Tengah XV, Jl Cempaka Putih Tengah XV , Jakarta Pusat , Cempaka Putih , -   ,800, Jalur Hijau Jalan 
21040081,JH Rawasari Selatan VI, Jl Rawasari Selatan VI , Jakarta Pusat , Cempaka Putih , -   ,1000, Jalur Hijau Jalan 
21040016,JH Cempaka Putih Indah, Jl Cempaka Putih Indah , Jakarta Pusat , Cempaka Putih , -   ,800, Jalur Hijau Jalan 
21040002,JH Bacang, Jl Bacang , Jakarta Pusat , Cempaka Putih , -   ,640, Jalur Hijau Jalan 
21040066,JH Rawasari Barat I, Jl Rawasari Barat I , Jakarta Pusat , Cempaka Putih , -   ,850, Jalur Hijau Jalan 
21040054,JH Murdai, Jl Murdai , Jakarta Pusat , Cempaka Putih , -   ,750, Jalur Hijau Jalan 
821040010,JH Pramuka (Rawa Sari), Jl. Pramuka , Jakarta Pusat , Cempaka Putih , -   ,11400, Jalur Hijau Jalan 
21040037,JH Cempaka Putih Tengah XXXIII, Jl. Cempaka Putih Tengah XXXIII , Jakarta Pusat , Cempaka Putih , -   ,3500, Jalur Hijau Jalan 
21040026,JH Cempaka Putih Tengah XII, Jl Cempaka Putih Tengah XII , Jakarta Pusat , Cempaka Putih , -   ,600, Jalur Hijau Jalan 
21040079,JH Percetakan Negara XI, Jl Percetakan Negara XI , Jakarta Pusat , Cempaka Putih , -   ,100, Jalur Hijau Jalan 
821040047,JH Cempaka Putih Barat XXVI A, Jl. Cempaka Putih Br. XXVI , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,3600, Jalur Hijau Jalan 
21040012,JH Cempaka Putih Barat XXII, Jl. Cempaka Putih Barat XXII , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,500, Jalur Hijau Jalan 
21040010,JH Cempaka Putih Barat XVII, Jl Cempaka Putih Barat XVII , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
821040063,JH Cempaka Putih Barat XXIII, Jl. Cempaka Putih Br. XXIII , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,300, Jalur Hijau Jalan 
21040005,JH Cempaka Putih Barat VII A/D, Jl Cempaka Putih Barat VII A/D , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,800, Jalur Hijau Jalan 
821040058,JH Cempaka Putih Barat XIX, Jl. Cempaka Putih Br. XIX , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,400, Jalur Hijau Jalan 
21040003,JH Cempaka Putih Barat II A, Jl Cempaka Putih Barat II A , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
821040052,JH Cempaka Putih Barat XX, Jl. Cempaka Putih Br. XX , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,400, Jalur Hijau Jalan 
21040015,JH Cempaka Putih Barat XV, Jl Cempaka Putih Barat XV , Jakarta Pusat , Cempaka Putih , Cempaka Putih Barat ,1000, Jalur Hijau Jalan 
