provinsi,wilayah,kecamatan,kelurahan,kode_kantor,nama_kantor,jenis,alamat
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk,Kelapa Dua,11550A,Jakarta Barat Kelapa Dua,KPCDK,Jl. Raya Kelapa Dua No. 33A RT007/RW005
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Udik,11560A,Jakarta Barat Sukabumi Udik,KPCDK,Jl. KH. Tohir RT003/RW007
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kembangan,Kembangan Barat,11610B,Jakarta Barat Kembangan Selatan,KPCDK,Jl. Raya Kembangan No. 16
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kembangan,Kembangan selatan,11610D1,LE Puri Indah,LE,Jl. Puri Indah Blok J
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kembangan,Srengseng,11630A,Jakarta Barat Srengseng,KPCDK,Jl. Srengseng Raya No. 6
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kembangan,Joglo,11640A,Jakarta Barat Joglo,KPCDK,Jl. Murni RT001/RW002
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kembangan,Meruya Selatan,11650A,Jakarta Barat Meruya Ilir,KPCDK,Jl. Meruya Ilir No. 59
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Cengkareng,Kedaung Kali Angke,11710A,Jakarta Barat Kedaung Kali Angke,KPCDK,Jl. Tawang Mangu RT011/RW003
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Cengkareng,Kedaung Kali angke,11710D1,LE Taman Kota,LE,Jl. Taman Kota RT001/RW008 No. 222
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Cengkareng,Kapuk,11720A,Jakarta Barat Kapuk,KPCDK,Jl. Raya Kapuk Kamal
Daerah Khusus Ibukota Jakarta,Jakarta Barat,,,11720D1,LE Cengkareng Indah,LE,Komplek Cengkareng Indah
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Cengkareng,Cengkareng,11730A,Jakarta Barat Cengkareng,KPCDK,Jl. Bangun Nusa No. 14
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Cengkareng,Cengkareng Barat,11730B,Jakarta Barat Cengkareng Barat,KPCDK,Jl. Utama Raya (Kantor Kelurahan)
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Cengkareng,Rawa Buaya,11740A,Jakarta Barat Rawa Buaya,KPCDK,Jl. Rawa Buaya No. 34 (Kantor Kelurahan)
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Cengkareng,Duri Kosambi,11750A,Jakarta Barat Duri Kosambi,KPCDK,Jl. Raya Duri Kosambi RT004/RW007
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kalideres,Tegal Alur,11820A,Jakarta Barat Tegal Alur,KPCDK,Jl. Raya Kamal No. 32
